nominal;data;curs;cdx
1;18.10.2023;102,7527;Евро
1;17.10.2023;102,5200;Евро
1;14.10.2023;102,5523;Евро
1;13.10.2023;103,0350;Евро
1;12.10.2023;105,9544;Евро
1;11.10.2023;105,6864;Евро
1;10.10.2023;107,0322;Евро
1;07.10.2023;106,0100;Евро
1;06.10.2023;104,7877;Евро
1;05.10.2023;104,3024;Евро
1;04.10.2023;104,0621;Евро
1;03.10.2023;103,8680;Евро
1;30.09.2023;103,1631;Евро
1;29.09.2023;102,0979;Евро
1;28.09.2023;101,9780;Евро
1;27.09.2023;101,9888;Евро
1;26.09.2023;102,2453;Евро
1;23.09.2023;102,2485;Евро
1;22.09.2023;102,3606;Евро
1;21.09.2023;103,3699;Евро
1;20.09.2023;102,9211;Евро
1;19.09.2023;103,0945;Евро
1;16.09.2023;103,0358;Евро
1;15.09.2023;103,2289;Евро
1;14.09.2023;103,1066;Евро
1;13.09.2023;101,5646;Евро
1;12.09.2023;103,5332;Евро
1;09.09.2023;104,8872;Евро
1;08.09.2023;105,2776;Евро
1;07.09.2023;105,0789;Евро
1;06.09.2023;104,9043;Евро
1;05.09.2023;104,4171;Евро
1;02.09.2023;104,6108;Евро
1;01.09.2023;104,9407;Евро
1;31.08.2023;104,4496;Евро
1;30.08.2023;103,4765;Евро
1;29.08.2023;103,2434;Евро
1;26.08.2023;102,2586;Евро
1;25.08.2023;102,4719;Евро
1;24.08.2023;102,2452;Евро
1;23.08.2023;102,7530;Евро
1;22.08.2023;102,5719;Евро
1;19.08.2023;101,4802;Евро
1;18.08.2023;102,1810;Евро
1;17.08.2023;105,6591;Евро
1;16.08.2023;106,5736;Евро
1;15.08.2023;110,6847;Евро
1;12.08.2023;107,9723;Евро
1;11.08.2023;107,1563;Евро
1;10.08.2023;106,8897;Евро
1;09.08.2023;105,4352;Евро
1;08.08.2023;106,0543;Евро
1;05.08.2023;103,8379;Евро
1;04.08.2023;102,5310;Евро
1;03.08.2023;101,9268;Евро
1;02.08.2023;100,6988;Евро
1;01.08.2023;100,9428;Евро
1;29.07.2023;99,9586;Евро
1;28.07.2023;100,2173;Евро
1;27.07.2023;99,7156;Евро
1;26.07.2023;99,6918;Евро
1;25.07.2023;100,3614;Евро
1;22.07.2023;100,6562;Евро
1;21.07.2023;101,8330;Евро
1;20.07.2023;102,4441;Евро
1;19.07.2023;102,0271;Евро
1;18.07.2023;101,6496;Евро
1;15.07.2023;101,1992;Евро
1;14.07.2023;100,6788;Евро
1;13.07.2023;99,8890;Евро
1;12.07.2023;99,6775;Евро
1;11.07.2023;100,4155;Евро
1;08.07.2023;99,8189;Евро
1;07.07.2023;100,7163;Евро
1;06.07.2023;98,4144;Евро
1;05.07.2023;97,7382;Евро
1;04.07.2023;97,2582;Евро
1;01.07.2023;96,0195;Евро
1;30.06.2023;95,1052;Евро
1;29.06.2023;93,8644;Евро
1;28.06.2023;93,1373;Евро
1;27.06.2023;92,2969;Евро
1;24.06.2023;91,4933;Евро
1;23.06.2023;91,9430;Евро
1;22.06.2023;92,0014;Евро
1;21.06.2023;92,0745;Евро
1;20.06.2023;91,7966;Евро
1;17.06.2023;91,6329;Евро
1;16.06.2023;90,9665;Евро
1;15.06.2023;91,0668;Евро
1;14.06.2023;90,3899;Евро
1;10.06.2023;89,0057;Евро
1;09.06.2023;88,0379;Евро
1;08.06.2023;87,1651;Евро
