nominal;data;curs;cdx
10;18.10.2023;34,9392;Турецкая лира
10;17.10.2023;35,0343;Турецкая лира
10;14.10.2023;35,0876;Турецкая лира
10;13.10.2023;34,9980;Турецкая лира
10;12.10.2023;36,0888;Турецкая лира
10;11.10.2023;36,1025;Турецкая лира
10;10.10.2023;36,7475;Турецкая лира
10;07.10.2023;36,4743;Турецкая лира
10;06.10.2023;36,1717;Турецкая лира
10;05.10.2023;36,1964;Турецкая лира
10;04.10.2023;36,1907;Турецкая лира
10;03.10.2023;35,9392;Турецкая лира
10;30.09.2023;35,5529;Турецкая лира
10;29.09.2023;35,5466;Турецкая лира
10;28.09.2023;35,4320;Турецкая лира
10;27.09.2023;35,3821;Турецкая лира
10;26.09.2023;35,4409;Турецкая лира
10;23.09.2023;35,5363;Турецкая лира
10;22.09.2023;35,5636;Турецкая лира
10;21.09.2023;35,7602;Турецкая лира
10;20.09.2023;35,6308;Турецкая лира
10;19.09.2023;35,8559;Турецкая лира
10;16.09.2023;35,8817;Турецкая лира
10;15.09.2023;35,7121;Турецкая лира
10;14.09.2023;35,7034;Турецкая лира
10;13.09.2023;35,2508;Турецкая лира
10;12.09.2023;35,9664;Турецкая лира
10;09.09.2023;36,4993;Турецкая лира
10;08.09.2023;36,6483;Турецкая лира
10;07.09.2023;36,5299;Турецкая лира
10;06.09.2023;36,4505;Турецкая лира
10;05.09.2023;36,1840;Турецкая лира
10;02.09.2023;36,0966;Турецкая лира
10;01.09.2023;36,2155;Турецкая лира
10;31.08.2023;36,0629;Турецкая лира
10;30.08.2023;36,0465;Турецкая лира
10;29.08.2023;36,1227;Турецкая лира
10;26.08.2023;34,9256;Турецкая лира
10;25.08.2023;34,7084;Турецкая лира
10;24.08.2023;34,7314;Турецкая лира
10;23.08.2023;34,6637;Турецкая лира
10;22.08.2023;34,7581;Турецкая лира
10;19.08.2023;34,4762;Турецкая лира
10;18.08.2023;34,6568;Турецкая лира
10;17.08.2023;35,7550;Турецкая лира
10;16.08.2023;36,0270;Турецкая лира
10;15.08.2023;37,3802;Турецкая лира
10;12.08.2023;36,3431;Турецкая лира
10;11.08.2023;36,0114;Турецкая лира
10;10.08.2023;36,0656;Турецкая лира
10;09.08.2023;35,5975;Турецкая лира
10;08.08.2023;35,7936;Турецкая лира
10;05.08.2023;35,1476;Турецкая лира
10;04.08.2023;34,7813;Турецкая лира
10;03.08.2023;34,4401;Турецкая лира
10;02.08.2023;34,0457;Турецкая лира
10;01.08.2023;33,9687;Турецкая лира
10;29.07.2023;33,7518;Турецкая лира
10;28.07.2023;33,4003;Турецкая лира
10;27.07.2023;33,4118;Турецкая лира
10;26.07.2023;33,4358;Турецкая лира
10;25.07.2023;33,6158;Турецкая лира
10;22.07.2023;33,5852;Турецкая лира
10;21.07.2023;33,7491;Турецкая лира
10;20.07.2023;33,9715;Турецкая лира
10;19.07.2023;34,5324;Турецкая лира
10;18.07.2023;34,5540;Турецкая лира
10;15.07.2023;34,4716;Турецкая лира
10;14.07.2023;34,5059;Турецкая лира
10;13.07.2023;34,7282;Турецкая лира
10;12.07.2023;34,7028;Турецкая лира
10;11.07.2023;35,1065;Турецкая лира
