nominal;data;curs;cdx
1;18.10.2023;97,3458;Доллар США
1;17.10.2023;97,2865;Доллар США
1;14.10.2023;97,3075;Доллар США
1;13.10.2023;96,9948;Доллар США
1;12.10.2023;99,9808;Доллар США
1;11.10.2023;99,9349;Доллар США
1;10.10.2023;101,3598;Доллар США
1;07.10.2023;100,4911;Доллар США
1;06.10.2023;99,6762;Доллар США
1;05.10.2023;99,4555;Доллар США
1;04.10.2023;99,2677;Доллар США
1;03.10.2023;98,4785;Доллар США
1;30.09.2023;97,4147;Доллар США
1;29.09.2023;97,0018;Доллар США
1;28.09.2023;96,5000;Доллар США
1;27.09.2023;96,2378;Доллар США
1;26.09.2023;96,1456;Доллар США
1;23.09.2023;96,0419;Доллар США
1;22.09.2023;96,0762;Доллар США
1;21.09.2023;96,6172;Доллар США
1;20.09.2023;96,2236;Доллар США
1;19.09.2023;96,6472;Доллар США
1;16.09.2023;96,6338;Доллар США
1;15.09.2023;96,1609;Доллар США
1;14.09.2023;95,9794;Доллар США
1;13.09.2023;94,7035;Доллар США
1;12.09.2023;96,5083;Доллар США
1;09.09.2023;97,9241;Доллар США
1;08.09.2023;98,1961;Доллар США
1;07.09.2023;97,8439;Доллар США
1;06.09.2023;97,5383;Доллар США
1;05.09.2023;96,6199;Доллар США
1;02.09.2023;96,3411;Доллар США
1;01.09.2023;96,3344;Доллар США
1;31.08.2023;95,9283;Доллар США
1;30.08.2023;95,7070;Доллар США
1;29.08.2023;95,4717;Доллар США
1;26.08.2023;94,7117;Доллар США
1;25.08.2023;94,4007;Доллар США
1;24.08.2023;94,4421;Доллар США
1;23.08.2023;94,1185;Доллар США
1;22.08.2023;94,1424;Доллар США
1;19.08.2023;93,4047;Доллар США
1;18.08.2023;93,7460;Доллар США
1;17.08.2023;96,7045;Доллар США
1;16.08.2023;97,4217;Доллар США
1;15.08.2023;101,0399;Доллар США
1;12.08.2023;98,2066;Доллар США
1;11.08.2023;97,2794;Доллар США
1;10.08.2023;97,3999;Доллар США
1;09.08.2023;96,0755;Доллар США
1;08.08.2023;96,5668;Доллар США
1;05.08.2023;94,8076;Доллар США
1;04.08.2023;93,7792;Доллар США
1;03.08.2023;92,8410;Доллар США
1;02.08.2023;91,7755;Доллар США
1;01.08.2023;91,5923;Доллар США
1;29.07.2023;90,9783;Доллар США
1;28.07.2023;90,0225;Доллар США
1;27.07.2023;90,0468;Доллар США
1;26.07.2023;90,0945;Доллар США
1;25.07.2023;90,4890;Доллар США
1;22.07.2023;90,3846;Доллар США
1;21.07.2023;90,8545;Доллар США
1;20.07.2023;91,2046;Доллар США
1;19.07.2023;90,6906;Доллар США
1;18.07.2023;90,4217;Доллар США
1;15.07.2023;90,1190;Доллар США
1;14.07.2023;90,1757;Доллар США
1;13.07.2023;90,6253;Доллар США
1;12.07.2023;90,5045;Доллар США
1;11.07.2023;91,4931;Доллар США
1;08.07.2023;91,6879;Доллар США
1;07.07.2023;92,5695;Доллар США
1;06.07.2023;90,3380;Доллар США
1;05.07.2023;89,5450;Доллар США
1;04.07.2023;89,3255;Доллар США
1;01.07.2023;88,3844;Доллар США
1;30.06.2023;87,0341;Доллар США
1;29.06.2023;85,6192;Доллар США
1;28.06.2023;85,0504;Доллар США
1;27.06.2023;84,6642;Доллар США
1;24.06.2023;84,0793;Доллар США
1;23.06.2023;83,6077;Доллар США
1;22.06.2023;84,2467;Доллар США
1;21.06.2023;84,2336;Доллар США
1;20.06.2023;83,9866;Доллар США
1;17.06.2023;83,6498;Доллар США
1;16.06.2023;83,9611;Доллар США
1;15.06.2023;84,3249;Доллар США
1;14.06.2023;83,6405;Доллар США
1;10.06.2023;82,6417;Доллар США
1;09.06.2023;82,0930;Доллар США
1;08.06.2023;81,4581;Доллар США
1;07.06.2023;81,2502;Доллар США
1;06.06.2023;81,3294;Доллар США
1;03.06.2023;80,8756;Доллар США
1;02.06.2023;80,9657;Доллар США
